,tags,suno,udio,total,suno_percentage,udio_percentage,percentage_sum,is_genre,POS,is_instrument,is_voice,is_bpm,is_year,is_key,is_tempo,is_structure,LABEL
51,heavy,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
52,hip hop,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
53,longing,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,VERB,False,False,False,False,False,False,False,QUALIFIER
54,contemporary r&b,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,True,False,GENRE
55,dance,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,VERB,False,False,False,False,False,False,False,GENRE
56,dance-pop,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
57,passionate,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,VERB,False,False,False,False,False,False,False,QUALIFIER
58,playful,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
59,hard rock,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
60,regional music,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
61,cinematic classical,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
62,classical music,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
63,contemporary folk,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,True,False,GENRE
64,western classical music,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
65,triumphant,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
66,folk,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,NOUN,False,False,False,False,False,False,False,GENRE
67,pop rap,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
68,angry,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
69,singer-songwriter,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,True,False,False,False,False,False,GENRE
70,boastful,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
71,sentimental,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
72,teen pop,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
73,alternative rock,0.0,2.0,2.0,0.0,1.1111111111111112,1.1111111111111112,True,False,False,False,False,False,False,False,False,GENRE
74,rock and roll,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
75,yodeling,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,VERB,False,False,False,False,False,False,False,GENRE
76,contemporary country,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,True,False,GENRE
77,90s,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,NOUN,False,False,False,True,False,False,False,YEAR
78,acid jazz,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
79,choral,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,ADJ,False,False,False,False,False,False,False,GENRE
80,calm,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,NOUN,False,False,False,False,False,False,False,QUALIFIER
81,post-industrial,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
82,post-hardcore,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
83,post-grunge,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
84,pop soul,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
85,billie holiday,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,False,False,False,False,False,False,False,False,QUALIFIER
86,bittersweet,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,VERB,False,False,False,False,False,False,False,QUALIFIER
87,happy,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
88,piano,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,NOUN,True,False,False,False,False,False,False,INSTRUMENT
89,audiobook,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,NOUN,False,False,False,False,False,False,False,QUALIFIER
90,harp,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,PROPN,True,False,False,False,False,False,False,GENRE
91,united states,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,False,False,False,False,False,False,False,False,QUALIFIER
92,ukulele,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,PROPN,True,False,False,False,False,False,False,GENRE
93,uk bass,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
94,heartland rock,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
95,tricky,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
96,trap metal,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
97,romantic,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
98,folk pop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
99,west coast rap,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
100,west coast hip hop,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
101,warm,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,False,ADJ,False,False,False,False,False,False,False,QUALIFIER
102,spoken word,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,True,False,False,False,False,False,False,False,False,GENRE
