,tags,LABEL,count_suno,count_udio,total,length,is_genre,is_instrument,POS,is_voice,is_bpm,is_year,is_key,is_structure
11917,horrorcore,GENRE/STYLE,8.0,20.0,28.0,10.0,True,False,PROPN,False,False,False,False,False
11927,house,GENRE/STYLE,402.0,609.0,1011.0,5.0,True,False,NOUN,False,False,False,False,False
11938,house music,GENRE/STYLE,15.0,23.0,38.0,11.0,True,False,"PROPN, NOUN",False,False,False,False,False
18474,rock opera,GENRE/STYLE,11.0,28.0,39.0,10.0,True,False,"NOUN, NOUN",False,False,False,False,False
18470,rock musical,GENRE/STYLE,0.0,13.0,13.0,12.0,True,False,"NOUN, ADJ",False,False,False,False,False
11990,hurdy-gurdy,GENRE/STYLE,9.0,1.0,10.0,11.0,True,False,"ADJ, PUNCT, ADJ",False,False,False,False,False
12014,hybrid trap,GENRE/STYLE,0.0,12.0,12.0,11.0,True,False,"ADJ, NOUN",False,False,False,False,False
12017,hymn,GENRE/STYLE,12.0,14.0,26.0,4.0,False,False,PROPN,False,False,False,False,False
18475,rock pop,GENRE/STYLE,24.0,6.0,30.0,8.0,True,False,"NOUN, NOUN",False,False,False,False,False
12044,hyperpop,GENRE/STYLE,53.0,34.0,87.0,8.0,True,False,ADJ,False,False,False,False,False
18426,rock ballad,GENRE/STYLE,49.0,15.0,64.0,11.0,True,False,"NOUN, PROPN",False,False,False,False,False
18422,rock and roll,GENRE/STYLE,46.0,56.0,102.0,13.0,True,False,"NOUN, CCONJ, NOUN",False,False,False,False,False
12143,idm,GENRE/STYLE,14.0,48.0,62.0,3.0,False,False,NOUN,False,False,False,False,False
18412,rock & roll,GENRE/STYLE,1.0,56.0,57.0,11.0,True,False,"PROPN, CCONJ, NOUN",False,False,False,False,False
18411,rock,GENRE/STYLE,2022.0,4283.0,6305.0,4.0,True,False,NOUN,False,False,False,False,False
12286,indie,GENRE/STYLE,353.0,58.0,411.0,5.0,True,False,PROPN,False,False,False,False,False
12300,indie folk,GENRE/STYLE,52.0,156.0,208.0,10.0,True,False,"PROPN, NOUN",False,False,False,False,False
12309,indie pop,GENRE/STYLE,210.0,372.0,582.0,9.0,True,False,"ADJ, NOUN",False,False,False,False,False
12321,indie rock,GENRE/STYLE,119.0,404.0,523.0,10.0,True,False,"PROPN, NOUN",False,False,False,False,False
12053,hyperspeed dubstep,GENRE/STYLE,13.0,0.0,13.0,18.0,True,False,"VERB, NOUN",False,False,False,False,False
11390,heartland rock,GENRE/STYLE,5.0,26.0,31.0,14.0,True,False,"PROPN, PROPN",False,False,False,False,False
23611,yacht rock,GENRE/STYLE,11.0,28.0,39.0,10.0,True,False,"PROPN, NOUN",False,False,False,False,False
18516,rocksteady,GENRE/STYLE,7.0,13.0,20.0,10.0,True,False,PROPN,False,False,False,False,False
11469,heavy metal,GENRE/STYLE,406.0,476.0,882.0,11.0,True,False,"ADJ, NOUN",False,False,False,False,False
10146,gangsta rap,GENRE/STYLE,30.0,226.0,256.0,11.0,True,False,"PROPN, PROPN",False,False,False,False,False
18828,salsa,GENRE/STYLE,30.0,8.0,38.0,5.0,True,False,VERB,False,False,False,False,False
11513,heavy rock,GENRE/STYLE,45.0,12.0,57.0,10.0,True,False,"ADJ, NOUN",False,False,False,False,False
18788,sad pop,GENRE/STYLE,13.0,8.0,21.0,7.0,True,False,"ADJ, NOUN",False,False,False,False,False
11579,hi-nrg,GENRE/STYLE,7.0,12.0,19.0,6.0,True,False,"INTJ, NOUN, NOUN",False,False,False,False,False
18598,roots rock,GENRE/STYLE,6.0,15.0,21.0,10.0,True,False,"NOUN, NOUN",False,False,False,False,False
18595,roots reggae,GENRE/STYLE,14.0,46.0,60.0,12.0,True,False,"NOUN, PROPN",False,False,False,False,False
18588,romanticism,GENRE/STYLE,0.0,14.0,14.0,11.0,False,False,NOUN,False,False,False,False,False
18508,rockabilly,GENRE/STYLE,50.0,22.0,72.0,10.0,True,False,ADV,False,False,False,False,False
11735,hip hop,GENRE/STYLE,600.0,1136.0,1736.0,7.0,True,False,"NOUN, NOUN",False,False,False,False,False
11756,hip hop soul,GENRE/STYLE,3.0,36.0,39.0,12.0,True,False,"NOUN, NOUN, NOUN",False,False,False,False,False
11764,hip house,GENRE/STYLE,0.0,17.0,17.0,9.0,True,False,"NOUN, NOUN",False,False,False,False,False
11768,hip-hop,GENRE/STYLE,399.0,140.0,539.0,7.0,True,False,"NOUN, PUNCT, NOUN",False,False,False,False,False
11787,hip-hop/rap,GENRE/STYLE,8.0,17.0,25.0,11.0,True,False,"NOUN, PUNCT, NOUN, SYM, NOUN",False,False,False,False,False
